bbk_full;bbk_abb;description;changes;;;
;;;;;;
31.21;31.21;Теоретические основы электротехники;;;;
31.211;31.211;Теория электрических и магнитных цепей;;;;
31.22;31.22;Электрические и магнитные измерения;;;;
31.221;31.221;Электрические измерения;;;;
31.222;31.222;Магнитные измерения;;;;
31.23;31.23;Электротехнические материалы и изделия;;;;
31.231;31.231;Металлокерамические материалы и изделия;;;;
31.232;31.232;Проводниковые материалы и изделия;;;;
31.232.3;31.232.3;Кабельные изделия;;;;
31.232.308;31.232.3-06;Технология производства кабельных изделий;;;;
31.233;;;См. 32.843.3 Полупроводниковые;;;
;;;материалы и изделия;;;
31.234;31.234;Электроизоляционные (диэлектрические) материалы и изделия;;;;
31.235;31.235;Магнитные материалы и изделия;;;;
31.24;31.24;Техника высоких напряжений;;;;
31.24-5;31.241;Установки высокого напряжения;;;;
31.241;31.241-047;Изоляция в технике высоких напряжений (высоковольтная изоляция);;;;
;31.242;Высоковольтные напряжения;;;;
;31.244;Импульсная энергетика. Импульсная техника высоких;;;;
;;напряжений;;;;
31.247;31.247;Перенапряжения и защита от них;;;;
31.247-5;31.247-5;Молниеотводы (громоотводы);;;;
31.25;31.25;Источники электрической энергии;;;;
31.251;31.251;Химические источники тока;;;;
31.252;31.252;Источники непосредственного получения электрической энергии;;;;
31.26;31.26;Электрические машины и аппараты. Электрооборудование.;;;;
;;Электромашино- и аппаратостроение;;;;
31.26-04;31.26-04;Детали и узлы электрических машин и аппаратов;;;;
31.261;31.261;Электрические машины. Электромашиностроение;;;;
31.261.1;31.261.1;Электрические генераторы;;;;
31.261.2;31.261.2;Электрические двигатели;;;;
31.261.3;31.261.3;Электрические машины специального назначения;;;;
31.261.5;31.261.5;Электрические машины постоянного тока;;;;
;;;;;;
31.261.51;;;См. 31.261.5 Электрические;;;
;;;машины постоянного тока;;;
31.261.52;;;См. 31.261.5 Электрические;;;
;;;машины постоянного тока;;;
31.261.6;31.261.6;Электрические машины переменного тока;;;;
31.261.62;31.261.62;Синхронные машины;;;;
31.261.63;31.261.63;Асинхронные (индукционные) машины;;;;
31.261.66;31.261.66;Коллекторные электрические машины;;;;
31.261.67;31.261.67;Параметрические электрические машины;;;;
31.261.68;31.261.68;Вращающиеся преобразователи. Двигатель-генераторы;;;;
31.261.8;31.261.8;Трансформаторы. Трансформаторостроение;;;;
31.261.88;;;См. 31.261.8 Трансформаторы.;;;
;;;Трансформаторостроение;;;
31.264;31.264;Электрические аппараты. Электроаппаратостроение;;;;
31.264-04;31.264-04;Детали, узлы, системы;;;;
31.264.5;31.264.5;Преобразователи, выпрямители, инверторы;;;;
31.264.6;31.264.6;Конденсаторы;;;;
31.264.7;31.264.7;Сопротивления (резисторы). Реостаты;;;;
31.264.8;31.264.8;Регуляторы напряжения, тока и мощности;;;;
31.27;31.27;Электроэнергетические системы и сети;;;;
31.27-01;31.27-01;Теоретические основы электрических систем;;;;
31.27-02;31.27-02;Проектирование электрических систем;;;;
31.27-05;31.27-05;Автоматизация и компьютеризация электрических систем. Связь в;;;;
;;электрических системах;;;;
;31.27-082;Эксплуатация электрических систем;;;;
31.271;31.271;Объединенные электрические системы;;;;
31.272;31.272;Местные электрические системы;;;;
31.273;31.273;Автономные электрические системы;;;;
31.277;31.277;Электрические станции;;;;
31.277.1;;;См. 31.277 Электрические станции;;;
31.278;31.278;Электрические подстанции;;;;
31.279;31.279;Линии электропередачи и электрические сети;;;;
31.279-04;31.279-04;Детали и элементы линий электропередачи и электрических сетей;;;;
31.279.1;31.279.1;Линии электропередачи и электрические сети сверхвысокого и;;;;
;;;;;;
;;высокого напряжения;;;;
31.279.2;31.279.2;Линии электропередачи и электрические сети среднего и низкого;;;;
;;напряжения;;;;
31.28;31.28;Электрификация. Электроснабжение. Электропотребление;;;;
;31.28н;Электробезопасность;;;;
31.280.7;31.280.7;Нормирование расхода, экономия и потери электрической энергии;;;;
;31.281;Электроснабжение и электропотребление промышленных;;;;
;;предприятий;;;;
;31.282;Электроснабжение жилых и общественных зданий.;;;;
;;Использование электрической энергии в быту;;;;
;31.282-5;Бытовые электрические приборы;;;;
31.29;;;См. .31.28 Электрификация. Электроснабжение.;;;
;;;Электропотребление;;;
31.29н;;;См. 31.28н Электробезопасность;;;
31.29-5;;;См. 31.281 Электроснабжение и электропотребление;;;
;;;промышленных предприятий;;;
31.29-5-08;;;См. 31.281 Электроснабжение и;;;
;;;электропотребление промышленных предприятий;;;
;31.29;Электрический привод. Электрический нагрев. Электрическое;;;;
;;освещение;;;;
31.291;31.291;Электрический привод;;;;
31.291-01;31.291-01;Теория электрического привода;;;;
31.291-04;31.291-04;Детали и узлы электрического привода;;;;
31.292;31.292;Электрический нагрев;;;;
31.292-5;31.292-5;Электрические печи и электротермические установки;;;;
31.293;;;См. 31.282 Электроснабжение жилых и общественных зданий.;;;
;;;Использование электрической энергии в быту;;;
31.293-5;;;См. 31.282-5 Бытовые;;;
;;;электрические приборы;;;
31.294;31.294;Электрическое освещение. Светотехника;;;;
;;;;;;
31.294-5;31.294-5;Осветительное оборудование;;;;
31.294.9;31.294.9;Освещение различных объектов;;;;
45747;45747;Теплоэнергетика. Теплотехника;;;;
31.31;31.31;Теоретические основы теплотехники;;;;
31.32;31.32;Теплотехнические измерения;;;;
31.32-5;31.32-5;Тепловые контрольно-измерительные и регулирующие приборы;;;;
;;(КИП);;;;
31.35;31.35;Энергетические топлива;;;;
31.352;31.352;Твердое топливо;;;;
31.353;31.353;Жидкое топливо;;;;
31.354;31.354;Газообразное топливо;;;;
;31.356;Биотопливо;;;;
31.358;;;См. в соответствующих;;;
;;;подразделениях 31.35 Энергетические топлива;;;
31.36;31.36;Тепловые машины и аппараты. Теплоэнергомашиностроение;;;;
31.361;31.361;Паровые котлы. Котлостроение;;;;
;31.362;Топки. Топочные устройства;;;;
31.363;31.363;Турбомашины (лопаточные тепловые машины). Турбостроение;;;;
31.364;;;См. .31.366 Двигатели Стирлинга;;;
31.365;31.365;Двигатели внутреннего сгорания. Двигателестроение;;;;
31.366;31.366;Двигатели внешнего сгорания. Паровые машины. Локомобили;;;;
;31.368;Теплообменные аппараты;;;;
31.37;31.37;Тепловые электростанции;;;;
31.37-5;31.37-5;Оборудование тепловых электростанций;;;;
31.372;31.372;Блочные тепловые электростанции;;;;
31.373;31.373;Газотурбинные электростанции;;;;
31.374;31.374;Электростанции с комбинированными теплосиловыми;;;;
;;установками;;;;
31.375;31.375;Электростанции с двигателями внутреннего сгорания.;;;;
;;Передвижные электростанции;;;;
31.376;;;См. 31.37 Тепловые станции;;;
31.378;31.378;Энергопоезда;;;;
31.38;31.38;Теплофикация. Теплоснабжение;;;;
;;;;;;
31.39;31.39;Промышленная теплотехника и холодильная техника;;;;
31.391;31.391;Промышленная теплотехника;;;;
31.392;31.392;Холодильная техника;;;;
31.4;31.4;Ядерная (атомная ) энергетика;;;;
31.4н;31.4н;Защита от радиоактивных излучений;;;;
31.42;31.42;Дозиметрия ядерных излучений. Радиометрия;;;;
31.42-5;31.42-5;Дозиметрические и радиометрические приборы и установки;;;;
31.46;31.46;Ядерные реакторы. Реакторостроение;;;;
31.47;31.47;Атомные электростанции (АЭС);;;;
31.49;31.49;Термоядерная энергетика;;;;
45808;45808;Гидроэнергетика;;;;
31.55;31.55;Источники водной энергии. Водноэнергетические ресурсы и их;;;;
;;использование;;;;
31.56;31.56;Гидравлические машины. Гидроэнергомашиностроение;;;;
31.57;31.57;Гидроэлектрические станции (ГЭС). Гидроэнергетическое;;;;
;;(водноэнергетическое) строительство;;;;
31.6;31.6;Альтернативная энергетика;;;;
31.62;31.62;Ветроэнергетика. Ветротехника;;;;
31.63;31.63;Гелиоэнергетика. Гелиотехника;;;;
31.64;31.64;Геоэнергетика;;;;
;31.65;Промышленная биоэнергетика;;;;
45869;45869;Техника сжатых и разреженных газов;;;;
31.76;31.76;Техника сжатых газов;;;;
31.77;31.77;Техника разреженных газов. Вакуумная техника;;;;
32;32;Радиоэлектроника;;;;
32.81;32.81;Техническая кибернетика;;;;
32.811;32.811;Теория информации. Общая теория связи;;;;
32.811.1;32.811.1;Случайные процессы. Случайные сигналы;;;;
32.811.2;32.811.2;Каналы связи;;;;
32.811.3;32.811.3;Преобразование и передача сигналов;;;;
32.811.4;32.811.4;Кодирование. Коды;;;;
32.811.7;32.811.7;Помехоустойчивость. Помехозащищенность;;;;
32.812;32.812;Системотехника;;;;
32.813;32.813;Искусственный интеллект;;;;
;;;;;;
;32.813.5;Системы искусственного интеллекта;;;;
32.815;;;См. 32.81 Техническая кибернетика;;;
32.816;32.816;Робототехника;;;;
;32.816-04;Устройство роботов;;;;
32.817;;;См. 32.812 Системотехника;;;
32.818;32.818;Бионические модели в радиоэлектронике;;;;
32.84;32.84;Общая радиотехника;;;;
32.840;32.840;Техника волн отдельных диапазонов;;;;
32.841;32.841;Теоретические основы радиотехники;;;;
32.842;32.842;Радиотехнические измерения;;;;
32.842-5;32.842-5;Приборы для радиотехнических измерений;;;;
32.843;32.843;Радиотехнические материалы и изделия;;;;
32.843.1;32.843.1;Металлокерамические радиотехнические материалы и изделия;;;;
32.843.2;32.843.2;Проводниковые материалы и изделия;;;;
32.843.3;32.843.3;Полупроводниковые материалы и изделия;;;;
32.843.308;;;См. 32.843.3 Полупроводниковые;;;
;;;материалы и изделия;;;
32.843.4;32.843.4;Диэлектрические материалы и изделия (диэлектрики);;;;
32.843.5;32.843.5;Магнитные материалы и изделия;;;;
32.844;32.844;Радиоэлектронная аппаратура (РЭА);;;;
;32.844-017;Шумы в РЭА;Новый индекс;;;
32.844-02;32.844-02;Проектирование радиоэлектронной аппаратуры;;;;
32.844-04;32.844-04;Детали РЭА;;;;
32.844.1;32.844.1;Микроэлектроника;;;;
;32.844.2;Наноэлектроника;;;;
32.845;32.845;Антенны. Линии передачи (фидеры);;;;
32.845.2;32.845.2;Антенны длинных и средних волн;;;;
32.845.3;32.845.3;Антенны коротких и метровых волн;;;;
32.845.4;32.845.4;Антенны ультракоротких волн;;;;
32.845.5;32.845.5;Приемные антенны;;;;
32.845.6;32.845.6;Воздушные и кабельные линии передачи;;;;
32.845.7;32.845.7;Волноводные линии передачи. Волноводы и объемные;;;;
;;резонаторы;;;;
32.845.8;32.845.8;Полосковые линии передачи и волноводы. Линии передачи с;;;;
;;;;;;
;;поверхностной волной;;;;
32.845.9;32.845.9;Замедляющие системы (замедляющие структуры);;;;
32.846;32.846;Усилительные устройства (усилители);;;;
32.846.2;32.846.2;Полупроводниковые усилители;;;;
32.846.3;;;См. 32.846.2 Каскодные усилители;;;
